SITENO,YR,MNTH,RX1day,RX5day
01013500,1980,1,12.12,19.59
01013500,1980,2,8.56,10.99
01013500,1980,3,19.57,46.71
01013500,1980,4,14.25,26.07
01013500,1980,5,9.17,26.49
01013500,1980,6,14.93,24.46
01013500,1980,7,15.92,42.35
01013500,1980,8,16.15,42.04
01013500,1980,9,16.93,39.81
01013500,1980,10,15.5,33.29
01013500,1980,11,15.01,41.72
01013500,1980,12,18.47,32.89
01013500,1981,1,9.69,20.94
01013500,1981,2,18.61,25.09
01013500,1981,3,24.65,35.34
01013500,1981,4,15.6,20.97
01013500,1981,5,22.24,60.47
01013500,1981,6,19.53,43.49
01013500,1981,7,15.22,31.08
01013500,1981,8,47.93,113.77
01013500,1981,9,15.4,36.19
01013500,1981,10,34.71,67.5
01013500,1981,11,11.19,35.4
01013500,1981,12,11.99,30.47
01013500,1982,1,22.32,37.5
01013500,1982,2,12.76,32.25
01013500,1982,3,16.57,29.84
01013500,1982,4,16.32,44.2
01013500,1982,5,5.53,9.89
01013500,1982,6,24.19,37.93
01013500,1982,7,22.54,42.81
01013500,1982,8,34.06,68.46
01013500,1982,9,23.9,46.19
01013500,1982,10,9.96,14.35
01013500,1982,11,33.14,55.57
01013500,1982,12,20.3,27.34
01013500,1983,1,19.36,29.68
01013500,1983,2,14.86,24.19
01013500,1983,3,21.4,43.07
01013500,1983,4,33.58,66.51
01013500,1983,5,27.79,61.39
01013500,1983,6,14.24,21.78
01013500,1983,7,26.27,44.83
01013500,1983,8,12.36,34.84
01013500,1983,9,25.05,39.56
01013500,1983,10,28.04,50.12
01013500,1983,11,42.52,83.73
01013500,1983,12,26.79,49.57
01013500,1984,1,9.14,17.18
01013500,1984,2,19.86,28.47
01013500,1984,3,34.05,49.69
01013500,1984,4,11.05,23.16
01013500,1984,5,26.58,73.3
01013500,1984,6,28.06,51.54
01013500,1984,7,24.98,62.47
01013500,1984,8,28.26,53.23
01013500,1984,9,13.38,17.85
01013500,1984,10,13.71,28.15
01013500,1984,11,18.02,42.55
01013500,1984,12,19.2,32
01013500,1985,1,10.13,13.67
01013500,1985,2,22.84,35.29
01013500,1985,3,16.34,26.76
01013500,1985,4,7.95,22.78
01013500,1985,5,18.24,34.9
01013500,1985,6,15.95,30.12
01013500,1985,7,31.25,65.39
01013500,1985,8,9.75,14.86
01013500,1985,9,29.8,54.32
01013500,1985,10,13.65,23.58
01013500,1985,11,22.68,40.85
01013500,1985,12,8.83,17.74
01013500,1986,1,22.77,55.5
01013500,1986,2,7.89,11.36
01013500,1986,3,16.7,29.91
01013500,1986,4,11.86,31.78
