SITENO,dam_count,min_NID,max_NID,TOT_POPDENS90,TOT_POPDENS00,TOT_POPDENS10,TOT_FRESHWATER_WD,TOT_S1100,TOT_S1200,TOT_S1400,TOT_S1500,TOT_S1630,TOT_S1640,TOT_S1710,TOT_S1720,TOT_S1730,TOT_S1740,TOT_S1780,TOT_S1820,TOT_TOTAL_ROAD_DENS,TOT_RDX,GAGESII_class,WR_report_remarks,ADR_citation,Screening_comments
01013500,1,250,250,1.88,1.82,1.79,0.52,0,0.05,0.61,0,0,0,0,0,0,0.04,0,0,0.71,489,Ref,,2002 ADR,upstrm series of natural lakes
01022500,4,21,59940,0.43,0.41,0.52,0.36,0,0.05,0.85,0.07,0,0,0,0,0,0.03,0.01,0,1,199,Ref,,2002 ADR,upstrm natural lake on main trib
01030500,2,2930,93952,2.13,1.87,1.78,0.54,0.02,0.11,0.6,0.03,0,0,0,0,0,0.05,0,0,0.81,695,Ref,,2002 ADR,"natural lakes on tribs, NEoA"
01031500,6,36,3584,4.84,4.31,4.41,0.13,0,0.11,0.64,0.07,0,0,0.01,0,0,0.05,0,0,0.88,237,Ref,Low flow may be regulated by operation of mills above station.,2002 ADR,regulating ponds/lakes
01047000,8,65,2203,3.25,3.47,3.97,0.37,0,0.13,0.61,0.05,0,0,0,0,0,0.1,0,0,0.89,201,Ref,Some minor egulation at low flows by mills above station.,2002 ADR,upstrm RoR dams
01048000,7,0,13610,14.11,14.1,15.32,0.53,0,0.2,0.74,0.11,0,0,0.01,0,0,0.11,0,0,1.17,304,Non-ref,,http://wdr.water.usgs.gov/wy2007/pdfs/01048000.2007.pdf,"upstrm towns, forested hw"
01052500,1,1000,1000,0.04,0.17,0.04,3.39,0,0,0.88,0,0,0,0,0,0,0.01,0,0,0.9,54,Ref,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/01052500.2006.pdf,"mostly roadless, NEoA"
01054200,NA,NA,NA,0.14,0.06,0.06,2.54,0,0.07,0.14,0,0,0,0,0,0,0,0,0,0.22,7,Ref,,2002 ADR,"HBN, roadless"
01055000,1,540,540,0.9,0.76,0.92,0.55,0,0.11,0.43,0.05,0,0,0.01,0,0,0.04,0,0,0.63,34,Ref,,2002 ADR,minimal disturbance
01055500,5,810,1822,15.16,17.29,19.42,1.66,0,0.23,0.94,0.09,0,0,0,0,0,0.1,0,0,1.37,117,Non-ref,,2002 ADR,upstrm RoR dam
01057000,3,126,702,12.04,13.71,13.93,0.68,0,0.18,0.93,0.04,0,0,0,0,0,0.08,0,0,1.23,45,Ref,,http://pubs.usgs.gov/wdr/2005/wdr-me-05-1/pdf/pages150_218.pdf,upstrm natural lakes
