SITENO,TOT_ROCKTYPE_100,TOT_ROCKTYPE_200,TOT_ROCKTYPE_300,TOT_ROCKTYPE_400,TOT_ROCKTYPE_500,TOT_ROCKTYPE_600,TOT_ROCKTYPE_999,TOT_AQ101,TOT_AQ102,TOT_AQ103,TOT_AQ104,TOT_AQ105,TOT_AQ106,TOT_AQ107,TOT_AQ108,TOT_AQ109,TOT_AQ110,TOT_AQ111,TOT_AQ112,TOT_AQ114,TOT_AQ115,TOT_AQ116,TOT_AQ117,TOT_AQ201,TOT_AQ202,TOT_AQ203,TOT_AQ204,TOT_AQ205,TOT_AQ301,TOT_AQ302,TOT_AQ304,TOT_AQ305,TOT_AQ306,TOT_AQ307,TOT_AQ308,TOT_AQ309,TOT_AQ310,TOT_AQ311,TOT_AQ312,TOT_AQ313,TOT_AQ314,TOT_AQ315,TOT_AQ316,TOT_AQ401,TOT_AQ402,TOT_AQ405,TOT_AQ406,TOT_AQ407,TOT_AQ410,TOT_AQ411,TOT_AQ412,TOT_AQ413,TOT_AQ414,TOT_AQ416,TOT_AQ417,TOT_AQ418,TOT_AQ419,TOT_AQ420,TOT_AQ501,TOT_AQ502,TOT_AQ503,TOT_AQ504,TOT_AQ505,TOT_AQ601,TOT_AQ606,TOT_AQ607,TOT_AQ608,TOT_AQ609,TOT_AQ610,TOT_AQ611,TOT_SOLLER_11,TOT_SOLLER_12,TOT_SOLLER_101,TOT_SOLLER_211,TOT_SOLLER_221,TOT_SOLLER_311,TOT_SOLLER_312,TOT_SOLLER_321,TOT_SOLLER_322,TOT_SOLLER_331,TOT_SOLLER_410,TOT_SOLLER_411,TOT_SOLLER_412,TOT_SOLLER_420,TOT_SOLLER_421,TOT_SOLLER_422,TOT_SOLLER_430,TOT_SOLLER_431,TOT_SOLLER_450,TOT_SOLLER_451,TOT_SOLLER_452,TOT_SOLLER_511,TOT_SOLLER_521,TOT_SOLLER_610,TOT_SOLLER_611,TOT_SOLLER_620,TOT_SOLLER_630,TOT_SOLLER_640,TOT_SOLLER_701,TOT_SOLLER_702,TOT_SOLLER_810,TOT_SOLLER_811,TOT_SOLLER_812,TOT_SOLLER_820,TOT_SOLLER_821,TOT_SOLLER_822,TOT_SOLLER_910,TOT_SOLLER_920,TOT_SOLLER_921,TOT_SOLLER_930,TOT_SOLLER_940,TOT_SOLLER_941,TOT_SOLLER_950,TOT_SOLLER_960,TOT_SOLLER_961,TOT_SOLLER_970,TOT_SOLLER_971,TOT_SOLLER_980,TOT_SOLLER_985,TOT_SOLLER_999
01013500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,50.06,0,35.6,7.23,0.02,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59
01022500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.66,0,2.75,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01030500,0,0,0,0.8,0,0,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78
01031500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0.94,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01047000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01048000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.51,0,5.58,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01052500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.67,17.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01054200,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01055000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01055500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.99,0,4.46,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
