SITENO,TOT_STREAM_SLOPE,TOT_STREAM_LENGTH,TOT_STRM_DENS,SINU,TOT_BFI,TOT_EWT,TOT_RECHG,TOT_SATOF,TOT_TWI,TOT_IEOF,TOT_CONTACT,TOT_RF7100,q_mean,FDC_slope,mean_hf_date,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q,mean_cfs,CV,skew,kurt,ar1,amplitude,phase
01013500,0.007765,1492.64,0.66,1.25,53.61,-21.42,300.46,2.32,12.12,1.99,245.11,68.04,1.685611589,1.082873814,115.6046512,0.24,6.018,0.558139535,10.29166667,1.790697674,22.05194805,0,1556.18,0.52,0.47,0.28,0.973,0.58,122.88
01022500,0.005238,647.14,0.77,1.08,50.64,-16.68,366.76,3.87,12.47,1.83,136.11,92.46,1.491858007,1.165103109,74.74418605,0.16,4.77,1.651162791,2.323943662,4,14.04069767,0,512.55,0.51,0.43,0.25,0.878,0.52,64.337
01030500,0.003173,2114.96,0.58,1.22,54.03,-13.14,349.31,4.59,12.66,1.5,523.64,75.7,1.858250876,1.42210884,102.6744186,0.12,6.99,1.465116279,6.746031746,4.139534884,19.87640449,0,2790.24,0.57,0.46,0.25,0.96,0.48,89.692
01031500,0.014582,565.76,0.73,1.03,46,-21.62,336.26,3.3,11.55,2.29,137.57,83.06,1.99597453,1.335734875,108.3488372,0.11,7.62,5.441860465,3.115384615,6.325581395,13.63235294,0,631.62,0.62,0.55,0.35,0.746,0.35,89.44
01047000,0.007922,383.75,0.42,1.1,46.13,-36.68,326.65,3.73,11.15,2.81,82.54,94.69,2.158809296,1.186919485,102.9302326,0.21,8.06,5.953488372,2.54296875,5.953488372,11.3046875,0,798.57,0.59,0.55,0.35,0.71,0.36,98.726
01048000,0.005197,561.91,0.42,1.2,48.88,-34.93,340.22,3.62,11.16,3.28,113.26,92.67,1.974500722,1.222751403,92.44444444,0.18,7.06,5.638888889,2.064039409,5.916666667,12.48826291,0,1079.89,0.59,0.53,0.33,0.715,0.4,94.636
01052500,0.005027,157.16,0.4,1.09,48.36,-50.17,366.77,4.05,10.67,3.7,42.23,98.57,2.252518943,1.144298276,105.1627907,0.27,8.21,5.186046512,2.695067265,7.627906977,7.87804878,0,364.74,0.59,0.56,0.37,0.766,0.41,111.898
01054200,0.019537,69.1,0.38,1.03,47.4,-51.64,366.5,2.03,9.88,0.14,15.51,116.43,2.701303407,1.160673391,102.4883721,0.26,9.91,8.558139535,1.948369565,8.465116279,9.054945055,0,200.04,0.62,0.61,0.43,0.468,0.26,97.65
01055000,0.008394,95.31,0.38,1.12,45.7,-50.38,324.06,2.87,10.34,2.36,23.87,97.97,2.184191659,1.214342148,106,0.18,8.15,7.441860465,2.11875,8.837209302,8.802631579,0,224.24,0.62,0.58,0.4,0.553,0.31,105.47
01055500,0.00179,184.32,0.4,1.31,53.11,-39.74,340.76,3.93,12.05,1.04,133.3,90.88,1.735064486,1.261105542,85.71052632,0.15,5.91,3.210526316,2.901639344,5.236842105,14.44221106,0,323.02,0.57,0.5,0.31,0.84,0.43,82.459
