SITENO,MNTH,DTR,TXx8110,TNx8110,TXn8110,TNn8110,TXx9120,TNx9120,TXn9120,TNn9120
01013500,1,11.38758798,11.15,1.72,-24.96,-38.56,11.15,1.72,-25.57,-38.56
01013500,2,12.71211585,13.82,2.94,-22.49,-36.15,13.82,1.91,-22.49,-36.15
01013500,3,12.04515396,17.7,2.78,-17.83,-33.92,23.56,4.19,-17.98,-33.92
01013500,4,11.00259848,27.49,7.68,-10.31,-19.58,25.88,5.53,-10.31,-21.57
01013500,5,13.13318915,33.11,13.73,2.18,-5.64,33.11,18.67,1.31,-5.35
01013500,6,12.78837879,33.09,18.08,8.45,-1.36,33.83,18.08,8.45,-1.73
01013500,7,12.25704545,33.52,20.47,13.32,2.57,33.6,20.73,13.46,3.36
01013500,8,12.37674487,32.42,19.52,12.85,0.32,32.42,18.78,13.15,0.32
01013500,9,12.12940152,32.23,18.47,4.47,-5.31,32.23,18.47,4.47,-5.31
01013500,10,10.14806452,25.98,13.4,0.26,-8.93,26.06,12.98,0.26,-10.42
01013500,11,8.103037879,18.1,12.64,-9.85,-23.31,22.09,12.64,-10.66,-23.31
01013500,12,9.303940616,12.38,1.92,-24.42,-35.65,13.97,5.02,-24.42,-33.6
01022500,1,10.90071848,12.68,6,-20.67,-30.84,12.68,6,-20.67,-29.16
01022500,2,11.63510861,15.66,3.56,-16.18,-29.43,15.66,3.56,-16.18,-29.43
01022500,3,10.95361437,25.14,5.68,-10.56,-25.91,28.3,5.68,-11.62,-23.93
01022500,4,11.28686364,27.58,8.31,-4.15,-12.65,27.58,8.74,-4.15,-12.65
01022500,5,12.53859238,34.13,13.85,6.35,-3.02,34.13,15.71,5.07,-2.57
01022500,6,12.18143939,33.69,18.16,9.49,2.2,33.4,18.16,8.21,1.21
01022500,7,11.9143695,34.71,19.78,14.07,5.87,34.71,20.33,14.07,6.86
01022500,8,11.9248607,34.06,19.61,13.75,3.61,34.06,19.8,14.3,5.78
01022500,9,11.85568182,34.27,19.12,10.31,-2.77,34.27,19.12,10.33,-2.77
01022500,10,10.71664956,26.36,14.78,2.2,-6.06,28.26,15.35,2.2,-6.06
01022500,11,9.1965,20.34,11.85,-6.68,-16.96,20.97,10.42,-8.24,-15.18
01022500,12,9.602822581,16.52,4.45,-16.11,-28.1,14.99,5.59,-17.19,-25.32
01030500,1,11.28703079,12.25,2.01,-22.33,-35.16,12.25,2.01,-22.33,-35.16
01030500,2,12.50431215,17.01,2.84,-19.14,-32.99,17.01,2.84,-19.14,-32.99
01030500,3,11.81269795,19.19,3.49,-14.43,-31.04,26.01,4.22,-14.75,-31.04
01030500,4,11.66705303,28.5,8.96,-7.79,-16.22,28.45,7.57,-7.79,-18.66
01030500,5,13.46689883,33.7,13.85,4.74,-3.97,33.7,16.74,3.03,-3.97
01030500,6,12.90834848,34.13,18.55,8.78,0.16,34.34,18.55,8.68,-1
01030500,7,12.44386364,34.44,20.16,13.64,3.16,34.44,20.74,13.64,4.21
01030500,8,12.55101173,34.02,19.91,12.92,1.42,34.02,19.77,12.92,3.08
01030500,9,12.47368939,33.13,19.63,7.37,-3.78,33.13,19.63,7.37,-3.78
01030500,10,10.88618768,25.37,14.66,1.34,-8,26.68,14.42,1.34,-8
01030500,11,8.811462121,19.52,11.93,-7.79,-20.78,22.25,11.93,-9.82,-18.54
01030500,12,9.500458211,14.28,2.78,-20.88,-34.92,14.77,4.57,-20.88,-29.15
01031500,1,11.53796188,12.81,3.14,-23.87,-36.26,12.81,3.14,-23.87,-36.26
01031500,2,12.88061947,15.06,2.43,-20.52,-35.19,15.06,2.15,-20.52,-35.19
01031500,3,12.24767595,23.34,4.07,-15.83,-30.4,26.08,2.81,-15.83,-29.45
01031500,4,11.78497727,28.69,7.81,-9.4,-16.96,28.69,9.34,-9.4,-16.96
01031500,5,13.283761,32.17,14.46,2.16,-4.52,32.17,17.7,2.16,-4.52
01031500,6,12.45181818,33.51,18.79,8.66,-0.02,33.64,18.79,7.35,-0.79
01031500,7,12.13005132,33.45,20.63,12.63,3.83,33.45,20.63,12.63,4.11
01031500,8,12.33492669,33.29,20.09,11.79,1.36,33.29,19.2,11.79,3.45
01031500,9,12.3732197,34.09,19.55,5.72,-3.56,34.09,19.55,5.72,-3.56
01031500,10,10.87208944,26.01,14.08,0.26,-7.66,26.98,13.76,0.26,-7.86
01031500,11,8.940856061,18.65,11.35,-8.11,-20.38,21.73,11.35,-9.86,-18.8
01031500,12,9.459380499,14.93,2.88,-19.76,-32.33,14.24,2.88,-20.21,-28.6
01047000,1,11.55576979,12.79,2.98,-24.79,-36.65,12.79,2.98,-24.79,-36.65
01047000,2,12.89659694,14.79,2.84,-22,-35.24,14.79,1.48,-22,-35.24
01047000,3,12.44835044,23.4,4,-18.56,-31.04,25.33,2.92,-18.56,-28.37
01047000,4,11.85074242,28.58,8.63,-9.4,-17.2,27.95,8.35,-9.4,-17.2
01047000,5,13.31863636,31.85,14.21,1.23,-5.11,31.85,16.64,1.23,-5.11
01047000,6,12.52020455,32.95,18.47,8.16,-0.53,32.95,18.52,7.41,-1.5
01047000,7,12.26180352,33.36,20.76,12.6,3.2,33.36,20.76,12.6,3.83
01047000,8,12.4640176,32.95,19.69,10.88,0.57,32.95,18.95,12.78,3.25
01047000,9,12.42278788,33.87,19.34,4.52,-4.24,33.87,19.34,4.52,-4.24
01047000,10,10.85557918,26.18,14.29,-0.19,-8.49,25.61,13.8,-0.19,-8.49
01047000,11,9.038136364,18.91,11.61,-9.45,-22.25,21.28,11.61,-11.35,-19.26
01047000,12,9.543925953,15.44,3.53,-18.8,-31.95,15.44,3.53,-20.76,-29.36
01048000,1,11.43585777,13.38,4.22,-23.18,-36.18,13.38,4.22,-23.18,-36.18
01048000,2,12.65890587,14.6,3.47,-20.36,-33.69,14.6,1.38,-20.36,-33.69
01048000,3,12.14566716,24.87,4.48,-17.58,-29.63,26.09,3.97,-17.58,-27.84
01048000,4,11.85059091,29.67,9.02,-8,-15.85,28.01,8.58,-8,-15.85
01048000,5,13.16201613,32.42,14.25,2.54,-4.59,32.42,16.76,2.54,-4.37
01048000,6,12.40436364,33.51,18.44,9.39,-0.06,33.51,18.44,8.04,-1.3
01048000,7,12.17464809,33.88,20.53,13.16,3.88,33.88,20.53,13.16,4.66
01048000,8,12.34888563,33.14,19.81,11.3,0.93,33.14,19.15,13.81,3.67
01048000,9,12.36130303,33.83,19.67,6.01,-3.72,33.83,19.67,6.01,-3.72
01048000,10,11.02387097,26.57,14.51,0.17,-8.08,26.15,13.84,0.17,-8.08
01048000,11,9.255583333,20.01,11.02,-7.54,-21.27,21.57,11.02,-10.5,-18.47
01048000,12,9.602426686,16.22,4.18,-17.5,-29.9,16.22,4.18,-18.87,-28.69
01052500,1,11.44038856,14.8,4.69,-27.18,-37.1,14.8,4.69,-27.18,-37.1
01052500,2,12.65484312,14.29,4.27,-25.34,-37.82,17.85,1.56,-25.34,-37.82
01052500,3,12.47272727,22.03,4.22,-21.78,-31.45,23.97,4.22,-21.78,-30.99
01052500,4,11.56870455,27.38,8.95,-11.77,-19.76,27.22,7.95,-11.77,-19.76
01052500,5,12.87906158,29.43,15.86,0.53,-7.02,32.2,17.65,0.53,-6.22
01052500,6,12.12255303,32.05,18.87,7.53,-2.31,32.05,18.87,7.53,-2.32
01052500,7,11.78252199,31.68,19.97,11.42,1.75,32,20.43,11.85,1.93
01052500,8,11.7911437,30.65,18.95,9.84,-0.78,30.65,18.95,11.93,2.41
01052500,9,11.70512121,31.45,18.48,1.19,-5.5,31.45,18.48,1.19,-5.5
01052500,10,10.27780059,24.94,12.68,-1.69,-10.3,24.91,14.24,-1.69,-10.3
01052500,11,8.766681818,19.54,10.68,-10.58,-23.42,20.94,10.68,-13.51,-22.1
01052500,12,9.550267595,14.97,4.46,-20.72,-33.58,14.97,4.46,-23.72,-32.06
01054200,1,11.34788123,14.6,6.78,-22.78,-33.05,14.6,6.78,-22.78,-33.05
01054200,2,12.2834111,14.42,3.99,-20.76,-31.49,16.19,0.46,-20.76,-31.49
01054200,3,11.83230205,25.52,3.8,-18.14,-28.27,25.52,3.8,-18.14,-28.27
01054200,4,11.90126515,29.36,8.44,-9.92,-15.99,29.36,8.3,-9.92,-15.99
01054200,5,12.98024927,31.06,14.96,2.37,-5.71,31.06,17.28,2.37,-4.67
01054200,6,12.20490909,32.85,18.48,9.28,-0.61,32.85,18.48,8.37,-1.11
01054200,7,11.97819648,32.57,19.58,13.31,3.2,32.57,19.67,13.31,3.28
01054200,8,12.07802786,32.69,19.24,10.68,1.31,32.69,19.05,13.05,2.86
01054200,9,12.14065152,32.33,18.19,6.39,-4.57,32.33,18.19,6.39,-4.57
01054200,10,11.14479472,25.76,14.09,-1.03,-8.9,25.46,13.21,-1.03,-9.06
01054200,11,9.572439394,19.51,10.25,-8.01,-20.16,21.74,10.25,-11.41,-20.28
01054200,12,9.814879032,17.93,3.55,-16.35,-27.79,17.93,3.55,-17.52,-27.32
01055000,1,11.46880499,13.03,4.32,-25.02,-36.51,13.03,4.32,-25.02,-36.51
01055000,2,12.78909895,13.98,3.23,-22.06,-34.58,16.08,1.22,-22.06,-34.58
01055000,3,12.44106305,23.66,3.45,-19.66,-30.77,24.61,3.04,-19.66,-29.17
01055000,4,11.78955303,28.92,8.54,-10.38,-17.5,27.71,7.54,-10.38,-17.5
01055000,5,13.10904692,30.91,15.13,0.96,-6.13,31.38,16.3,0.96,-5.14
01055000,6,12.33676515,32.91,17.56,8.85,-1.06,32.91,18.15,7.61,-1.85
01055000,7,12.09019795,32.75,19.53,12.28,2.84,32.75,19.88,12.28,3.77
01055000,8,12.21653226,32.27,18.8,9.6,0.36,32.27,18.72,14.23,2.83
01055000,9,12.17979545,33.02,18.87,3.61,-4.66,33.02,18.87,3.61,-4.66
01055000,10,10.7998827,25.76,14.2,-0.94,-8.92,25.04,13.52,-0.94,-8.92
01055000,11,9.12575,18.94,11.08,-9.24,-22.31,21.11,11.08,-12.46,-20.02
01055000,12,9.635964076,16.04,4.54,-18.37,-30.85,16.04,4.54,-20.66,-28.22
01055500,1,10.99798387,14.83,6.31,-21.08,-33.83,14.83,6.31,-21.08,-33.83
01055500,2,12.00339501,15.08,4.63,-17.32,-30.96,15.08,1.92,-17.32,-30.96
01055500,3,11.48665689,27.63,5.39,-15.85,-26.4,27.66,6.44,-15.85,-26.4
01055500,4,11.79341667,31.31,9.89,-6.4,-13.07,29.47,9.38,-6.4,-13.07
01055500,5,12.92616569,33.76,15.49,4.9,-3.65,33.76,17.47,4.9,-2.85
01055500,6,12.17797727,35.42,19.33,10.81,1.06,35.42,19.33,8.7,-0.29
01055500,7,11.97747067,35.13,21.19,14.16,5.36,35.13,21.61,14.16,5.83
01055500,8,12.11789589,34.43,20.64,12.32,2.21,34.43,20.29,13.94,4.93
01055500,9,12.20707576,34.24,20.3,8.82,-2.77,34.24,20.3,8.82,-2.77
01055500,10,11.16543988,27.38,14.79,0.61,-6.71,27.65,14.39,0.61,-7.07
01055500,11,9.426742424,21.71,11.36,-5.76,-19.2,22.5,11.36,-8.66,-17.06
01055500,12,9.442840909,18.48,5.25,-15.33,-27.27,18.48,5.25,-17.06,-26.96
01057000,1,11.02874633,15.08,6.57,-21.84,-33.99,15.08,6.57,-21.84,-33.99
01057000,2,12.04901046,15.1,4.48,-18.04,-31.18,15.1,1.56,-18.04,-31.18
01057000,3,11.60499267,27.13,4.78,-16.98,-27.3,27.15,5.81,-16.98,-27.3
01057000,4,11.84844697,31.01,9.62,-7.56,-13.78,30.19,9.16,-7.56,-13.78
01057000,5,13.02576246,33.25,15.35,4.15,-4.16,33.25,17.69,4.15,-3.23
01057000,6,12.25140152,35.03,19.42,10.55,0.5,35.03,19.42,8.42,-0.51
01057000,7,12.05870235,34.66,20.89,13.87,4.75,34.66,21.27,13.87,5.15
01057000,8,12.18472874,34.02,20.23,11.65,2.02,34.02,19.85,13.52,4.54
01057000,9,12.2687803,33.73,19.83,8.01,-3.28,33.73,19.83,8.01,-3.28
01057000,10,11.19241935,27.17,14.79,0.14,-7.04,27.33,13.98,0.14,-7.33
01057000,11,9.412871212,21.24,11.24,-6.08,-19.56,22.73,11.24,-9.02,-17.83
01057000,12,9.468489736,18.5,5.24,-15.56,-27.4,18.5,5.24,-17.34,-26.1
01060000,1,10.5696261,17.11,6.49,-18.69,-31.15,17.11,6.49,-18.69,-29.73
