SITENO,PPT8110,TMIN8110,TMAX8110,TAV8110,PET8110,AET8110,PPT9120,TMIN9120,TMAX9120,TAV9120,PET9120,AET9120,TN10p,TN90p,TX10p,TX90p
01013500,1086.04,-2.39,9.17,3.39,925.64,664.14,1123.57,-2.05,9.33,3.64,921.62,663.73,8.898015058,10.94518076,9.271358347,10.45983448
01022500,1298.45,0.84,12.18,6.51,1138.75,813.64,1323.89,1.13,12.38,6.75,1139.19,817.31,9.047352374,11.72920167,9.657146413,10.95762554
01030500,1177.53,-0.84,10.95,5.06,1096.56,783.2,1209.82,-0.51,11.12,5.31,1089.28,780.97,8.835791177,11.06962852,9.215356854,10.42250016
01031500,1258.31,-1.07,10.72,4.82,1032.79,753.48,1279.43,-0.7,10.91,5.1,1028.28,751.83,8.773567295,11.46163898,9.314915064,10.67139568
01047000,1216.96,-1.39,10.42,4.51,988.7,697.32,1252.18,-1.07,10.59,4.76,989.45,699.96,9.134465808,11.10074046,9.159355361,10.62783896
01048000,1227.45,-0.68,11.05,5.19,1025.06,717.3,1263.01,-0.41,11.18,5.38,1025.09,721.09,9.358471781,10.9762927,9.36469417,10.74606434
01052500,1338.08,-2.12,9.24,3.56,899.18,675.84,1329.36,-1.88,9.51,3.81,905.88,682.3,9.538921038,11.16918673,9.258913571,11.33719121
01054200,1422.92,-0.89,10.75,4.93,999.94,710.65,1459.56,-0.68,10.88,5.1,1006.77,719.2,9.178022525,10.80206583,9.134465808,10.58428225
01055000,1242.98,-1.48,10.2,4.36,966.16,679.74,1276.22,-1.25,10.34,4.55,966.48,684.08,9.495364321,11.00118225,9.414473275,10.73984195
01055500,1259.43,0.71,12.23,6.47,1109.77,764.99,1295.01,0.93,12.27,6.6,1107.83,767,9.339804617,10.90784643,9.470474768,10.68384046
01057000,1282.39,0.31,11.89,6.1,1051.42,723.96,1323.97,0.53,11.94,6.24,1050.16,728.16,9.352249393,10.87673449,9.414473275,10.50961359
01060000,1264.68,1.87,13.07,7.47,1167.09,823.68,1282.81,2.2,13.13,7.66,1169.78,827.03,8.817124012,11.20029867,9.414473275,10.64650613
01064500,1449.79,-0.78,11.03,5.13,1016.36,733.25,1474.36,-0.46,11.17,5.35,1022.77,738.43,8.835791177,11.15051957,9.12824342,10.62783896
01073000,1253.75,2.41,14.58,8.49,1293.35,12.96,1268.3,2.79,14.59,8.69,1303.04,13.03,8.935349387,11.07585091,9.669591189,10.70250762
01076500,1287.04,-0.36,11.62,5.63,1042.34,740,1305.7,-0.03,11.74,5.86,1054.1,748.53,8.773567295,11.11940763,9.190467301,10.59050464
01078000,1299.22,0.49,12.48,6.49,1205.05,809.01,1304.84,0.85,12.52,6.68,1221.64,815.06,9.171800137,10.7647315,9.719370294,10.31049717
01118300,1362.43,4.9,14.96,9.93,1433.19,948.04,1353.21,5.13,15.14,10.14,1449.36,951.32,9.265135959,11.62964346,9.252691183,10.58428225
01121000,1348.31,3.43,14.66,9.04,1471.36,937.19,1331.87,3.85,14.77,9.31,1481.18,948.23,9.028685209,11.34963599,9.682035965,10.58428225
01123000,1369.27,3.98,15.16,9.57,1449.13,943.13,1335.02,4.39,15.28,9.84,1455.16,957.33,8.99135088,11.76031361,9.607367308,10.7149524
01127000,1355.18,3.81,15.06,9.43,1415.13,938.08,1343.74,4.2,15.21,9.71,1424.04,948.33,8.972683716,11.65453301,9.36469417,10.95140315
01134500,1304.53,-1.41,10.72,4.66,930.16,674.48,1295.37,-1.27,10.8,4.77,938.85,682.48,9.171800137,11.09451808,9.53269865,10.75850912
01137500,1461.13,-1.62,9.84,4.11,927.48,681.88,1468.25,-1.4,10.02,4.31,936.19,686.29,9.05979715,11.14429718,9.072241926,10.67761807
01139000,1156.14,-0.36,11.51,5.57,986.96,720.8,1193.95,-0.18,11.59,5.71,1004.31,733.35,9.12824342,10.93273598,9.451807604,10.6091718
01139800,1191.89,-0.6,10.6,5,1005.4,728.82,1228.56,-0.4,10.53,5.07,1023.46,741.33,9.05979715,11.00740464,9.713147906,10.03671209
01142500,1209.69,-0.23,11.45,5.61,1006.74,748.22,1237.27,0.05,11.53,5.79,1026.18,761.17,8.935349387,11.10074046,9.70070313,10.63406135
01144000,1258.99,-0.09,11.79,5.85,1041.02,747.66,1276.71,0.18,11.87,6.03,1065.21,763.48,9.016240433,10.9762927,9.601144919,10.3976106
01162500,1340.71,1.12,13.35,7.24,1319.56,856.4,1332.96,1.61,13.5,7.55,1340.97,868.54,8.810901624,11.97809719,9.103353867,10.47850165
01169000,1401.48,0.91,12.88,6.9,1243.2,855.15,1441.87,1.28,13.05,7.17,1262.37,867.24,9.010018045,11.1878539,9.290025512,10.24827329
01170100,1407.25,0.77,12.74,6.75,1254.09,836.37,1451.55,1.16,12.92,7.04,1272.63,848.73,8.99135088,11.26874494,9.314915064,10.24827329
01181000,1385.7,1.34,13,7.17,1369.94,896.02,1410.13,1.57,13.18,7.38,1390.59,913.34,9.271358347,10.99495987,9.538921038,10.3478315
01187300,1411.27,1.93,13.37,7.65,1482.64,945.37,1445.98,2.22,13.54,7.88,1494.77,954.05,9.302470288,11.33096883,9.36469417,10.55939269
01195100,1354.33,5.36,15.66,10.51,1652.11,1062.01,1337.71,5.57,15.79,10.68,1657.96,1085.87,9.003795657,11.3994151,9.234024018,10.8705121
01197500,1336.93,1.41,13.01,7.21,1266.79,832.58,1366.31,1.67,13.21,7.44,1292.54,848.66,9.202912078,11.03851658,9.420695663,10.49716881
01200000,1333.97,3.02,14.82,8.92,1254.2,829.71,1341.74,3.35,14.91,9.13,1277.24,846.96,9.047352374,11.45541659,9.731815071,10.49716881
01321000,1425.38,-0.32,11.23,5.46,1122.86,763.66,1430.99,-0.13,11.24,5.55,1138.71,777.09,9.327359841,10.42872254,9.663368801,9.675813577
01333000,1315.29,1.3,12.63,6.96,1169.54,813.77,1347.76,1.52,12.82,7.17,1195.94,820.29,9.607367308,10.65895091,9.252691183,10.61539419
01334500,1351.83,1.19,12.77,6.98,1145.48,799.66,1379.43,1.53,12.98,7.25,1173.85,815.71,8.978906104,11.02607181,9.078464315,10.43494493
01348000,1398.13,0.9,12.17,6.54,1073.09,765.74,1418.42,1.03,12.21,6.62,1091.89,778.88,9.370916558,10.24827329,9.489141933,9.557588202
01350000,1342.07,1.21,12.77,6.99,1170.46,792.38,1408.92,1.37,13.13,7.25,1193.67,815.06,9.594922531,10.55317031,9.321137453,10.95140315
01350080,1211.75,0.93,12.47,6.7,1189.75,802.3,1270.17,0.98,12.83,6.91,1210.04,821.18,10.09271358,10.35405389,9.271358347,10.96384792
01350140,1180.07,1.03,12.49,6.76,1146.97,775.79,1231.83,1.07,12.71,6.89,1176.45,808.29,9.993155373,10.1362703,9.588700143,10.40383299
01365000,1530.21,1.67,12.47,7.07,1230.51,819.24,1590.48,1.9,12.78,7.34,1251.85,837.68,9.495364321,10.80206583,9.557588202,10.92029121
01371500,1291.8,3.74,15.3,9.52,1229.35,792.99,1322.7,4.07,15.41,9.74,1253.57,808.92,9.22780163,11.34963599,9.613589696,10.52828075
01372500,1269.79,3.21,15.33,9.27,1186.6,791.55,1289.72,3.54,15.42,9.48,1213.02,808.52,8.954016552,11.59853152,9.731815071,10.41005538
01411300,1163.99,7.17,18.23,12.7,1669.57,916.59,1256.07,7.63,18.39,13.01,1697.19,975.42,8.238441914,12.14610167,9.551365814,10.08026881
01413500,1372.95,0.73,11.89,6.31,1154.31,788.99,1425.33,0.81,12.21,6.51,1184.99,819.8,10.12382552,10.36649866,9.526476262,11.06962852
01414500,1430.39,0.68,11.62,6.15,1186.85,801.22,1478.88,0.78,11.92,6.35,1213.54,830.56,10.12382552,10.52828075,9.389583722,11.1318524
01415000,1367.14,0.77,12.23,6.5,1180.84,794.05,1402.83,0.87,12.44,6.65,1214.35,839.01,9.80026134,10.36027627,9.458029992,10.9265136
01421000,1351.94,1.3,12.69,6.99,1177.41,800.66,1402.51,1.45,12.85,7.15,1208.82,831.81,9.557588202,10.52205837,9.476697156,10.6091718
01423000,1300.4,1,12.4,6.7,1087.04,759.49,1349.01,1.13,12.53,6.83,1121.27,790.62,9.601144919,10.4536121,9.53269865,10.50961359
01426500,1284.98,1.39,12.77,7.08,1116.98,774.04,1337.7,1.55,12.89,7.22,1149.86,805.85,9.439362827,10.54694792,9.551365814,10.49716881
01434025,1615.92,0.49,10.59,5.54,1242.22,827.11,1670.19,0.64,11.04,5.84,1264.8,851.78,10.37894344,10.75228673,9.420695663,11.65453301
01435000,1527.92,1.38,12.15,6.76,1246.78,829.66,1583.25,1.58,12.44,7.01,1270.84,853.45,9.70070313,10.75850912,9.433140439,11.03229419
01439500,1308.38,2.76,14.53,8.64,1361.88,830.88,1364.33,3.18,14.58,8.88,1399.3,860.24,8.972683716,11.41808226,9.930931492,10.44738971
01440000,1269.95,3.39,15.3,9.34,1352.55,852.83,1313.96,3.76,15.37,9.57,1383.35,872.57,9.190467301,11.36208077,9.825150893,10.41005538
01440400,1337.89,2.44,14.09,8.26,1334.97,825.47,1378.41,2.93,14.18,8.55,1365.45,843.89,8.72378819,11.52386286,9.980710597,10.4536121
01445000,1274.96,3.64,15.7,9.67,1248.97,804.43,1301.4,4.23,15.82,10.02,1271.33,812.08,8.680231473,11.89098376,9.451807604,10.43494493
01445500,1333.31,3.76,15.83,9.8,1265.01,817.25,1347.76,4.34,15.96,10.15,1287.05,824.31,8.618007591,11.93454048,9.445585216,10.55939269
01451800,1309.69,4.48,16.33,10.4,1089.52,692.66,1382.23,4.88,16.44,10.66,1114.56,713.18,8.941571775,11.7105345,10.19227179,10.19849418
01466500,1303.98,6.37,17.9,12.13,1632.61,955.56,1367.19,6.86,17.97,12.41,1661.05,978.23,8.369112065,11.84742704,9.588700143,10.15493746
01484100,1203.05,8.05,19.11,13.58,1420.65,927.56,1270.11,8.54,19.23,13.89,1433.98,968.7,8.543338933,12.21454794,9.514031485,10.31671956
01485500,1175.27,8.58,19.34,13.96,1495.47,916.88,1257.11,9.09,19.52,14.3,1517.48,958.86,8.599340427,12.64389273,9.302470288,10.74606434
01486000,1198.04,8.77,19.54,14.16,1473.82,887.78,1279.52,9.23,19.73,14.48,1503.53,943.3,8.624229979,12.56300168,9.439362827,10.68384046
01487000,1196.52,8.15,19.23,13.69,1331.08,877.52,1257.68,8.66,19.35,14,1341.29,908.65,8.524671769,12.35144048,9.53269865,10.29183
01491000,1203.34,7.92,19.02,13.47,1335.36,899.81,1285.34,8.43,19.06,13.74,1345.94,933.49,8.425113559,12.183436,9.787816564,10.10515836
01500500,1252.3,1.39,12.75,7.07,1056.22,744.31,1299.67,1.53,12.84,7.18,1090.82,771.78,9.501586709,10.32294195,9.582477755,10.36027627
01503000,1229.97,1.87,13.16,7.51,1076.39,753.11,1281,2.04,13.27,7.66,1109.36,781.47,9.352249393,10.54694792,9.514031485,10.49094643
01510000,1225.79,1.74,12.54,7.14,1088.89,763.22,1276.31,1.89,12.62,7.25,1112.16,778.82,9.613589696,10.52828075,9.850040446,10.68384046
01512500,1164.6,2.15,13.17,7.66,1048.53,745.63,1222.23,2.31,13.25,7.78,1075.95,766.09,9.414473275,10.43494493,9.744259847,10.55317031
01516500,1150.42,1.43,12.95,7.19,1065.09,714.61,1188.69,1.64,13.04,7.34,1098.9,745.23,9.19668969,11.03851658,9.856262834,10.36027627
