SITENO,TOT_HLR_1,TOT_HLR_2,TOT_HLR_3,TOT_HLR_4,TOT_HLR_5,TOT_HLR_6,TOT_HLR_7,TOT_HLR_8,TOT_HLR_9,TOT_HLR_10,TOT_HLR_11,TOT_HLR_12,TOT_HLR_13,TOT_HLR_14,TOT_HLR_15,TOT_HLR_16,TOT_HLR_17,TOT_HLR_18,TOT_HLR_19,TOT_HLR_20,TOT_PHYSIO_1,TOT_PHYSIO_3,TOT_PHYSIO_4,TOT_PHYSIO_5,TOT_PHYSIO_6,TOT_PHYSIO_7,TOT_PHYSIO_8,TOT_PHYSIO_9,TOT_PHYSIO_10,TOT_PHYSIO_11,TOT_PHYSIO_12,TOT_PHYSIO_13,TOT_PHYSIO_14,TOT_PHYSIO_15,TOT_PHYSIO_16,TOT_PHYSIO_17,TOT_PHYSIO_18,TOT_PHYSIO_19,TOT_PHYSIO_20,TOT_PHYSIO_21,TOT_PHYSIO_22,TOT_PHYSIO_23,TOT_PHYSIO_24,TOT_PHYSIO_25
01013500,0,0,0,0,0,2.65,15.38,0,0,0,41.89,0,0,0,0,34.52,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01022500,0,13.78,0,0,0,1.87,59.62,0,0,0,4.62,0,0,0,0,18.92,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01030500,0,0,0,0.07,0,8.89,66.52,0,0.57,0,13.55,0,0,0,0,8.65,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01031500,0,0,0,0,0,0,11.09,0,0,0,13.94,0,0,0,0,74.17,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01047000,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,0,87.67,0,0,2.82,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01048000,0,1.44,0,0,0,0,5.75,0,0,0,1.78,0,0,0,0,90.97,0,0,0.01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01052500,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,99.94,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01054200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.05,0,35.51,32.43,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01055000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01055500,0,2.7,0,0,0,0,11.25,0,0,0,0,0,0,0,0,86.06,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
