SITENO,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,TOT_SALINAVE,TOT_pH,TOT_HGA,TOT_HGAC,TOT_HGAD,TOT_HGB,TOT_HGBC,TOT_HGBD,TOT_HGC,TOT_HGCD,TOT_HGD,TOT_HGVAR,TOT_KFACT,TOT_KFACT_UP
01013500,62.8,14.76,22.44,70.27,54.54,77.93,5.3,1.47,48.21,1.22,0.22,2.87,0,5.45,0.75,0,0.05,12.65,0,0,44.19,17.33,25.03,0,0.32,0.22
01022500,46.16,9.13,44.71,71.64,41.02,78.52,6.74,5.07,56.51,1.35,0.14,2.98,0,5.45,22.07,0,0,10.4,0,0,44.11,4.67,18.75,0,0.27,0.19
01030500,61.53,13.28,25.19,70.81,53.03,78.43,8.2,2.32,51.77,1.2,0.22,2.54,0,5.45,2.53,0,0.19,19.87,0,0,38.42,12.07,26.93,0,0.32,0.22
01031500,59.82,11.16,29.02,73.29,52.14,80.14,6.76,2.42,47.68,1.28,0.21,2.97,0,5.34,4.47,0,0,14.2,0,0,41.66,16.84,22.83,0,0.32,0.22
01047000,51.64,6.96,41.4,74.5,43.68,81.69,2.76,3.29,49.56,1.39,0.16,3.21,0,5.29,9.46,0,0,8.94,0,0,59.1,14.49,8.02,0,0.28,0.19
01048000,50.85,6.86,42.29,76.07,43.86,83.81,1.98,2.82,53.94,1.47,0.15,2.8,0,5.32,7.37,0,0,7.5,0,0,71.17,9.4,4.55,0,0.28,0.2
01052500,61.62,7.28,31.1,71.24,49.48,76.27,2.62,2.42,51.73,1.28,0.18,4.03,0,5.12,5.51,0,0,8.61,0,0,66.82,5.42,13.64,0,0.32,0.24
01054200,50.27,6.11,43.61,74.1,41.83,81.44,1.33,2.83,50.53,1.38,0.14,4.14,0,4.88,7,0,0,17.4,0,0,57.52,14.39,3.7,0,0.3,0.21
01055000,53.14,7.07,39.78,74.1,44.58,81.34,3.16,2.93,46.33,1.34,0.17,3.32,0,5.24,7.78,0,0,8.24,0,0,55.85,18.37,9.76,0,0.29,0.19
01055500,39.29,4.55,56.16,73.22,31.59,80.85,1.86,5.03,56.72,1.43,0.1,3.06,0,5.45,17.85,0,0,11.14,0,0,60.45,5.96,4.6,0,0.25,0.2
01057000,42.02,4.55,53.44,70.6,32.69,78.74,2.07,4.12,54.76,1.4,0.11,3.38,0,5.41,15.45,0,0,13.59,0,0,59.19,8.2,3.58,0,0.25,0.19
01060000,49.88,20.78,29.34,85.42,62.86,89.72,4.45,3.56,55.44,1.28,0.19,2.34,1629.23,5.74,10.55,0,0.1,2.69,0,0,44.14,9.42,33.1,0,0.36,0.26
01064500,44.87,5.16,49.97,70.05,35.32,76.99,1.87,5.49,51.07,1.32,0.13,4.49,0,5.04,24.78,0,0.5,16.76,0,0,39.49,12.17,6.3,0,0.28,0.2
01073000,40.79,9.36,49.85,77.43,39.09,83.86,0.89,5.98,52.22,1.42,0.12,3.94,0,5.3,5.72,0,0.25,43.86,0,0,34.31,10.47,5.38,0,0.28,0.22
01076500,43.69,4.68,51.63,68.35,33.24,75.67,2.36,5.63,47.87,1.3,0.12,4.66,0,5.15,25.6,0,0.58,15.31,0,0,37.59,13.89,7.02,0,0.27,0.2
01078000,40.48,4.36,55.16,69.47,31.16,77.03,2.7,5.93,53.52,1.35,0.11,4.44,0,5.17,24.34,0,2.06,23.62,0,0,35.55,8.6,5.84,0,0.25,0.2
01118300,45.21,5.38,49.42,71.67,36.27,77.72,2.73,5.2,54.83,1.42,0.12,4.31,0,5.15,0.86,0,3.02,66.39,0,0,22.8,6.87,0,0.06,0.28,0.2
01121000,45.11,6,48.89,71.9,36.91,77.99,3.13,4.5,54.35,1.4,0.13,3.8,0,5.23,5.49,0,3.45,41.48,0,0,41.82,6.99,0.44,0.33,0.28,0.21
01123000,44.21,5.91,49.89,71.48,36.1,77.99,3.33,4.76,56.62,1.39,0.12,3.48,0,5.23,9.47,0,3.75,32.09,0,0,49.92,4.21,0,0.57,0.28,0.21
01127000,43.4,5.59,51.02,71.21,35.17,77.82,2.37,5.23,54.24,1.38,0.12,3.76,0,5.23,10.98,0,2.48,34.5,0,0,37.05,7.9,6.46,0.63,0.28,0.21
01134500,51.66,6.5,41.84,76.96,44.75,83.19,1.12,2.35,44.61,1.29,0.16,3.92,0,5.15,0,0,0,2.62,0,0,71.36,5.18,20.83,0,0.39,0.32
01137500,48.7,6.27,45.02,72.41,40.16,78.06,2.79,4.41,46.41,1.22,0.18,4.56,0,4.93,19.99,0,0.73,8.22,0,0,46.51,13.32,11.23,0,0.32,0.24
01139000,50.83,7.03,42.14,81.04,46.86,87.24,3.59,2.57,52.11,1.3,0.14,3.63,0,6.01,2.97,0,0,35.04,0,0,35.03,0,26.96,0,0.3,0.25
01139800,49.57,7.02,43.4,81.34,46.01,87.34,1.82,2.79,49.22,1.32,0.14,4.34,0,5.97,3.39,0,0,42.89,0,0,31.47,0,22.25,0,0.29,0.26
01142500,53.02,7.6,39.38,80.37,48.69,86.71,2.03,2.36,49.35,1.33,0.14,3.65,0,5.9,3.26,0,0,29.14,0,0,43.36,1.39,22.86,0,0.31,0.27
01144000,52.11,6.88,41.02,78.73,46.37,85.04,1.38,2.67,46.93,1.32,0.15,4.09,0,5.51,3.86,0,0,20.92,0,0,54.61,6.07,14.55,0,0.33,0.28
01162500,40.17,3.99,55.84,69.81,30.86,78.51,5.6,3.8,56.1,1.36,0.1,3.74,0,5.27,6.83,0,1.09,29.02,0,0,50.94,4.17,7.95,0,0.26,0.19
01169000,54.08,6.12,39.8,74.5,44.85,81.79,1.06,2.38,46.69,1.43,0.14,3.95,0,5.1,1.54,0,0,13.66,0,0,63.48,14.67,6.65,0,0.33,0.25
01170100,52.82,6.03,41.14,74.37,43.78,81.69,1,2.91,45.09,1.34,0.14,4.81,0,5.01,2.38,0,0,24.76,0,0,54.48,12.6,5.77,0,0.31,0.24
01181000,52.47,6.01,41.51,74.79,43.76,82.95,1.69,2.51,45.76,1.43,0.13,3.89,0,4.98,2.23,0,0.01,8.72,0,0,64.15,17.12,7.77,0,0.29,0.2
01187300,50.98,6.05,42.96,74.11,42.29,81.44,1.82,2.77,44.31,1.43,0.13,4.07,0,5.2,0.93,0,0.75,26.84,0,0,44.66,19.74,7.09,0,0.31,0.21
01195100,46.23,6.21,47.56,72.81,38.22,78.51,3.18,3.85,54.47,1.41,0.13,3.67,0,5.22,1.32,0,3.37,42.68,0,0,45.23,7.35,0,0.06,0.29,0.21
01197500,53.13,8.77,38.09,71.27,43.97,78.35,2.47,3.17,46.29,1.43,0.13,4.26,0,5.75,2.98,0,1.96,27.6,0,0,47.65,13.97,5.84,0,0.29,0.23
01200000,53.95,8.42,37.63,69.08,42.71,74.76,1.52,3.65,47.69,1.47,0.12,4.86,0,5.75,10.93,0,1.06,30.63,0,0,44.79,8.25,4.34,0,0.3,0.24
01321000,49.15,5.54,45.31,73.07,39.99,80.84,2.71,2.7,43.02,1.3,0.15,4.06,0,5.34,7.48,0,3.32,1.85,0,0,67.02,15.37,4.97,0,0.31,0.21
01333000,57.19,10.79,32.01,65.95,44.22,72.39,1.71,2.63,40.36,1.4,0.13,4.8,0,5.68,2.45,0,1.19,23.08,0,0,45.65,20.82,6.81,0,0.31,0.24
01334500,56.37,9.19,34.43,68.41,44.4,74.77,1.5,2.91,45.38,1.41,0.13,4.46,0,5.66,5.88,0,0.92,21.58,0,0,55.38,10.15,6.1,0,0.33,0.27
01348000,48.49,8.31,43.19,74.42,42.26,80.45,3.47,3.55,49.79,1.38,0.14,3.57,0,5.65,11.98,0,4.02,13.31,0,0.04,57.67,7.72,5.26,0,0.31,0.29
01350000,57.77,13.38,28.86,51.43,36.35,58.32,1.09,1.59,42.73,1.37,0.11,4.4,0,5.06,3.49,0,0,1.82,0,0,74.9,14.26,5.53,0,0.28,0.23
01350080,55.68,14.56,29.74,55.71,39.15,62.63,1.2,1.5,46.9,1.39,0.11,3.9,0,5.14,3.64,0,0,2.36,0,0,80.64,8.96,4.39,0,0.29,0.25
01350140,59.81,14.77,25.44,59.26,44.38,67.51,1.7,1.23,40.27,1.33,0.12,4.3,0,5.15,0,0,0,1.58,0,0,84.11,11.19,3.13,0,0.3,0.26
01365000,59.98,15.27,24.76,47.04,35.37,54.79,0.68,1.2,32.08,1.4,0.1,5.45,0,5.04,0.01,0,0,0,0,0,67.43,24.21,8.35,0,0.27,0.23
01371500,55.8,11.84,32.38,66.03,44.47,73.2,6.24,2.77,51.61,1.37,0.13,3.03,0,5.71,8.22,0,6.79,6.97,0,0.68,64.99,1.84,10.51,0,0.31,0.26
01372500,58.54,8.89,32.56,67.76,45.46,74.04,1.45,2.72,47.2,1.44,0.13,4.58,0,5.63,10.14,0,0.96,38.85,0,0.06,45.03,1.57,3.39,0,0.33,0.26
01411300,21.66,11.43,66.9,84.29,27.82,89.3,2.31,8.13,59.37,1.47,0.11,3.35,82.7,4.62,12.01,0,0,46.15,0,10.26,14.51,9.46,7.6,0,0.24,0.24
