SITENO,11,12,21,22,23,24,31,41,42,43,52,71,81,82,90,95
01013500,6.33,0.00,1.45,1.07,0.10,0.01,0.09,15.04,14.62,30.56,7.78,4.39,2.57,2.38,13.15,0.47
01022500,2.96,0.00,1.57,1.01,0.07,0.01,0.21,12.54,31.77,24.77,3.39,3.13,0.04,0.11,17.47,0.96
01030500,2.75,0.00,1.48,0.88,0.07,0.00,0.10,10.45,15.54,37.82,3.43,1.29,2.46,0.37,22.70,0.67
01031500,2.24,0.00,1.93,0.75,0.12,0.02,0.12,21.24,14.71,40.85,4.62,1.83,1.81,0.04,9.31,0.42
01047000,0.86,0.00,1.76,1.05,0.13,0.01,0.23,33.38,16.78,29.41,4.93,1.49,1.19,0.09,8.47,0.22
01048000,1.31,0.00,2.88,1.29,0.29,0.05,0.29,33.12,8.32,35.28,4.22,1.15,4.46,0.26,6.83,0.25
01052500,0.30,0.00,0.69,0.15,0.00,0.00,0.00,45.84,18.98,20.56,5.30,2.32,0.00,0.00,5.84,0.01
01054200,0.03,0.00,0.28,0.08,0.02,0.00,0.06,42.83,31.02,24.61,0.17,0.10,0.00,0.00,0.72,0.08
01055000,0.14,0.00,1.23,0.59,0.02,0.00,0.14,39.27,19.43,23.58,9.08,4.61,0.37,0.00,1.51,0.02
01055500,1.42,0.00,4.00,1.62,0.29,0.04,0.43,29.49,6.36,34.44,2.28,1.72,6.89,0.49,10.10,0.44
01057000,1.55,0.00,3.57,1.69,0.25,0.01,0.27,32.92,9.84,36.60,3.00,1.34,3.49,0.01,5.25,0.19
01060000,0.87,0.00,7.20,3.97,1.05,0.16,1.60,10.23,12.45,36.74,0.83,1.15,9.68,0.52,12.19,1.36
01064500,0.49,0.00,2.64,1.66,0.46,0.08,0.78,31.34,31.39,26.73,0.94,0.46,0.78,0.16,1.94,0.14
01073000,1.19,0.00,6.37,3.50,1.36,0.42,1.86,13.81,10.63,38.38,1.20,1.31,4.81,0.03,14.49,0.65
01076500,0.51,0.00,2.08,1.33,0.44,0.04,0.40,36.09,24.83,28.81,1.24,0.71,1.17,0.06,2.17,0.13
01078000,0.63,0.00,3.24,1.19,0.12,0.01,0.50,29.41,13.19,36.98,2.98,1.73,2.28,0.07,7.38,0.29
01118300,0.16,0.00,5.89,0.38,0.00,0.00,0.00,70.32,0.26,2.87,1.89,0.48,2.33,1.15,14.17,0.12
01121000,1.18,0.00,6.49,0.97,0.26,0.01,0.01,62.78,0.46,7.66,0.07,0.44,5.57,0.20,13.27,0.61
01123000,0.34,0.00,7.01,0.89,0.09,0.00,0.14,59.90,1.30,5.48,0.30,0.36,6.54,1.18,15.09,1.36
01127000,2.37,0.00,8.80,4.23,1.74,0.41,0.70,35.87,4.15,16.63,0.68,0.79,6.13,1.34,15.57,0.60
01134500,0.06,0.00,0.93,0.27,0.01,0.00,0.03,52.94,11.88,23.09,2.43,1.13,0.32,0.00,6.70,0.21
01137500,0.02,0.00,1.91,1.54,0.34,0.01,1.39,26.54,41.73,21.84,1.48,0.60,0.04,0.00,2.52,0.05
01139000,1.25,0.00,2.50,1.40,0.33,0.03,0.20,39.01,11.14,25.68,2.25,1.16,6.84,0.03,7.91,0.27
01139800,0.02,0.00,2.23,0.40,0.01,0.00,0.00,63.71,3.21,24.32,0.87,0.54,3.54,0.00,1.03,0.11
01142500,0.05,0.00,4.10,1.53,0.18,0.03,0.07,38.77,11.07,19.80,0.18,0.20,20.13,0.41,3.28,0.23
01144000,0.25,0.00,3.27,1.09,0.24,0.02,0.13,49.08,9.16,24.04,0.51,0.54,9.43,0.23,1.89,0.12
01162500,2.75,0.00,4.07,1.49,0.35,0.02,0.18,12.17,22.04,31.52,2.19,1.41,1.59,0.03,19.26,0.93
01169000,0.13,0.00,4.06,0.75,0.10,0.00,0.15,29.48,11.09,43.03,0.51,0.34,6.61,0.17,3.38,0.19
01170100,0.37,0.00,2.59,0.29,0.03,0.00,0.02,38.03,7.74,44.34,0.31,0.32,3.27,0.02,2.62,0.05
01181000,1.15,0.00,4.96,0.80,0.13,0.00,0.06,47.60,2.53,33.78,0.46,0.41,1.32,0.00,6.71,0.08
01187300,1.73,0.00,3.02,0.19,0.02,0.00,0.00,28.95,5.33,48.85,0.39,0.47,0.62,0.00,10.21,0.22
01195100,0.13,0.00,18.47,4.96,1.06,0.08,0.00,62.41,0.02,0.99,0.12,0.47,1.10,0.00,10.19,0.02
01197500,2.17,0.00,7.73,4.65,1.74,0.62,0.55,38.12,4.66,21.66,0.16,0.17,5.85,0.13,11.17,0.62
01200000,1.05,0.00,6.75,2.36,0.66,0.10,0.36,47.45,1.51,5.90,0.07,0.22,20.29,4.75,7.39,1.16
01321000,3.07,0.00,0.78,0.41,0.05,0.00,0.07,64.04,7.39,15.35,0.09,0.21,0.03,0.00,8.28,0.22
01333000,0.00,0.00,4.18,1.45,0.44,0.10,0.03,70.61,2.14,7.02,0.01,0.13,11.11,0.69,2.00,0.09
01334500,0.34,0.00,4.92,2.49,1.02,0.25,0.39,59.81,3.17,11.00,0.22,0.14,10.92,1.23,3.83,0.27
01348000,2.13,0.00,2.21,0.62,0.12,0.02,0.06,51.94,9.19,15.93,0.46,0.23,5.45,0.74,10.71,0.20
01350000,0.29,0.00,4.57,1.37,0.30,0.02,0.13,51.14,8.36,24.57,0.29,0.20,6.36,0.05,2.15,0.18
01350080,0.07,0.00,4.71,0.55,0.05,0.00,0.12,36.71,11.16,29.51,0.38,0.70,12.55,0.00,3.26,0.22
01350140,0.39,0.00,6.00,0.74,0.13,0.00,0.02,36.70,7.55,30.88,0.83,0.10,12.67,0.01,3.90,0.06
01365000,0.03,0.00,1.24,0.13,0.01,0.00,0.01,82.84,1.91,12.20,0.02,0.02,1.26,0.00,0.29,0.04
01371500,1.17,0.00,9.96,5.70,1.99,0.48,0.24,43.24,0.17,2.49,0.14,0.26,17.41,4.31,11.36,1.07
01372500,0.73,0.00,9.51,3.70,0.86,0.21,0.23,51.18,0.54,4.58,0.06,0.21,19.16,1.20,7.03,0.80
01411300,0.08,0.00,3.84,1.61,0.38,0.01,0.31,32.58,1.55,20.97,2.59,0.61,2.24,2.28,30.89,0.06
01413500,0.07,0.00,4.50,1.06,0.23,0.02,0.01,69.89,1.35,10.75,0.03,0.06,10.83,0.01,1.08,0.11
01414500,0.23,0.00,1.88,0.11,0.00,0.00,0.01,76.18,1.78,13.42,0.23,0.01,5.59,0.00,0.50,0.07
01415000,0.26,0.00,4.13,0.76,0.10,0.00,0.03,67.65,1.13,6.25,0.18,0.10,18.01,0.01,1.23,0.15
01421000,1.53,0.00,3.64,0.79,0.20,0.01,0.06,71.52,1.47,12.35,0.14,0.11,6.76,0.06,1.26,0.09
01423000,0.22,0.00,5.54,1.15,0.28,0.07,0.05,58.58,1.11,4.72,0.03,0.06,26.18,0.69,1.06,0.27
01426500,1.48,0.00,5.08,1.10,0.26,0.05,0.14,59.37,1.76,8.97,0.20,0.09,19.67,0.53,1.04,0.26
01434025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.14,0.29,1.57,0.00,0.00,0.00,0.00,0.00,0.00
01435000,0.10,0.00,1.57,0.29,0.03,0.00,0.04,76.82,5.00,14.64,0.06,0.08,0.65,0.00,0.68,0.04
01439500,1.59,0.00,5.35,0.92,0.14,0.01,0.07,76.35,0.26,3.94,0.74,0.63,0.04,0.00,9.83,0.12
01440000,0.64,0.00,3.22,0.67,0.10,0.01,0.00,69.31,0.68,11.53,0.20,0.08,3.55,0.06,9.65,0.30
01440400,1.11,0.00,7.11,0.87,0.21,0.02,0.07,70.51,0.83,11.40,0.17,0.20,0.99,0.00,6.43,0.09
01445000,2.31,0.00,11.36,5.10,1.06,0.13,0.02,49.65,0.11,1.74,0.09,0.24,9.25,4.33,14.20,0.42
01445500,1.11,0.00,9.40,4.43,1.08,0.11,0.08,46.67,0.04,1.63,0.23,0.17,11.56,7.23,15.76,0.50
